portfolio: 190000 policies; inner: 500; outer: 1000
outer    1 done in 13.0s; avg 13.2s/outer; ETA 3.7 h
outer   11 done in 1.4s; avg 2.5s/outer; ETA 0.7 h
outer   21 done in 1.5s; avg 2.0s/outer; ETA 0.5 h
outer   31 done in 1.4s; avg 1.8s/outer; ETA 0.5 h
outer   41 done in 1.5s; avg 1.7s/outer; ETA 0.5 h
outer   51 done in 1.5s; avg 1.7s/outer; ETA 0.4 h
outer   61 done in 1.5s; avg 1.6s/outer; ETA 0.4 h
outer   71 done in 1.5s; avg 1.6s/outer; ETA 0.4 h
outer   81 done in 1.5s; avg 1.6s/outer; ETA 0.4 h
outer   91 done in 1.5s; avg 1.6s/outer; ETA 0.4 h
outer  101 done in 1.5s; avg 1.6s/outer; ETA 0.4 h
outer  111 done in 1.5s; avg 1.6s/outer; ETA 0.4 h
outer  121 done in 1.5s; avg 1.6s/outer; ETA 0.4 h
outer  131 done in 1.5s; avg 1.5s/outer; ETA 0.4 h
outer  141 done in 1.5s; avg 1.5s/outer; ETA 0.4 h
outer  151 done in 1.5s; avg 1.5s/outer; ETA 0.4 h
outer  161 done in 1.4s; avg 1.5s/outer; ETA 0.4 h
outer  171 done in 1.5s; avg 1.5s/outer; ETA 0.4 h
outer  181 done in 1.5s; avg 1.5s/outer; ETA 0.3 h
outer  191 done in 1.5s; avg 1.5s/outer; ETA 0.3 h
outer  201 done in 1.5s; avg 1.5s/outer; ETA 0.3 h
outer  211 done in 1.5s; avg 1.5s/outer; ETA 0.3 h
outer  221 done in 1.5s; avg 1.5s/outer; ETA 0.3 h
outer  231 done in 1.5s; avg 1.5s/outer; ETA 0.3 h
outer  241 done in 1.5s; avg 1.5s/outer; ETA 0.3 h
outer  251 done in 1.5s; avg 1.5s/outer; ETA 0.3 h
outer  261 done in 1.5s; avg 1.5s/outer; ETA 0.3 h
outer  271 done in 1.5s; avg 1.5s/outer; ETA 0.3 h
outer  281 done in 1.5s; avg 1.5s/outer; ETA 0.3 h
outer  291 done in 1.5s; avg 1.5s/outer; ETA 0.3 h
outer  301 done in 1.5s; avg 1.5s/outer; ETA 0.3 h
outer  311 done in 1.5s; avg 1.5s/outer; ETA 0.3 h
outer  321 done in 1.5s; avg 1.5s/outer; ETA 0.3 h
outer  331 done in 1.4s; avg 1.5s/outer; ETA 0.3 h
outer  341 done in 1.5s; avg 1.5s/outer; ETA 0.3 h
outer  351 done in 1.5s; avg 1.5s/outer; ETA 0.3 h
outer  361 done in 1.5s; avg 1.5s/outer; ETA 0.3 h
outer  371 done in 1.5s; avg 1.5s/outer; ETA 0.3 h
outer  381 done in 1.5s; avg 1.5s/outer; ETA 0.3 h
outer  391 done in 1.5s; avg 1.5s/outer; ETA 0.3 h
outer  401 done in 1.5s; avg 1.5s/outer; ETA 0.2 h
outer  411 done in 1.5s; avg 1.5s/outer; ETA 0.2 h
outer  421 done in 1.5s; avg 1.5s/outer; ETA 0.2 h
outer  431 done in 1.5s; avg 1.5s/outer; ETA 0.2 h
outer  441 done in 1.5s; avg 1.5s/outer; ETA 0.2 h
outer  451 done in 1.5s; avg 1.5s/outer; ETA 0.2 h
outer  461 done in 1.5s; avg 1.5s/outer; ETA 0.2 h
outer  471 done in 1.5s; avg 1.5s/outer; ETA 0.2 h
outer  481 done in 1.5s; avg 1.5s/outer; ETA 0.2 h
outer  491 done in 1.5s; avg 1.5s/outer; ETA 0.2 h
outer  501 done in 1.5s; avg 1.5s/outer; ETA 0.2 h
outer  511 done in 1.5s; avg 1.5s/outer; ETA 0.2 h
outer  521 done in 1.5s; avg 1.5s/outer; ETA 0.2 h
outer  531 done in 1.5s; avg 1.5s/outer; ETA 0.2 h
outer  541 done in 1.5s; avg 1.5s/outer; ETA 0.2 h
outer  551 done in 1.5s; avg 1.5s/outer; ETA 0.2 h
outer  561 done in 1.5s; avg 1.5s/outer; ETA 0.2 h
outer  571 done in 1.5s; avg 1.5s/outer; ETA 0.2 h
outer  581 done in 1.5s; avg 1.5s/outer; ETA 0.2 h
outer  591 done in 1.5s; avg 1.5s/outer; ETA 0.2 h
outer  601 done in 1.4s; avg 1.5s/outer; ETA 0.2 h
outer  611 done in 1.5s; avg 1.5s/outer; ETA 0.2 h
outer  621 done in 1.5s; avg 1.5s/outer; ETA 0.2 h
outer  631 done in 1.5s; avg 1.5s/outer; ETA 0.2 h
outer  641 done in 1.5s; avg 1.5s/outer; ETA 0.1 h
outer  651 done in 1.5s; avg 1.5s/outer; ETA 0.1 h
