rn,sp,R
1,1,46268628.24358913
1,2,46489530.1533238
1,3,47070854.44069624
1,4,41604110.32437969
1,5,42887141.76108553
1,6,41676464.304221526
1,7,42122710.511720344
1,8,34527385.146599926
1,9,27544725.7792066
1,10,23288746.102307186
1,11,23891211.741546202
1,12,24748213.75653141
1,13,25352162.116961867
1,14,26161937.552642446
1,15,25556375.48439298
1,16,25783148.81436457
1,17,29675811.35954707
1,18,27901649.69431016
1,19,26428320.678947665
1,20,28050082.043858163
1,21,28596888.527240053
1,22,27346854.23036388
1,23,22458008.9958959
1,24,22294144.027729236
1,25,25365700.621772993
1,26,22391443.287539467
1,27,22838235.744383246
1,28,21699753.20516919
1,29,21316238.033510726
1,30,22127674.329780087
1,31,21978545.936287202
1,32,21719689.231584184
1,33,21520858.962036423
1,34,23799367.45933181
1,35,27036411.19282619
1,36,25795591.448775522
1,37,23700495.310797755
1,38,25072286.085413676
1,39,28100222.15741721
1,40,24746252.569357384
1,41,28371097.060137283
1,42,24642113.088177353
1,43,24578413.419613466
1,44,30842552.373497646
1,45,33700599.52625968
1,46,29082034.769981403
1,47,23844846.911516845
1,48,22745273.807728637
1,49,23274908.178422086
1,50,21663997.737094786
1,51,21119194.388951104
1,52,21354663.96984102
1,53,21137282.246646337
1,54,21873280.392607495
1,55,20280276.29550948
1,56,21344998.976704516
1,57,20041589.97376918
1,58,23481451.62991795
1,59,19520168.64399449
1,60,21088332.00566309
1,61,19757792.285685588
1,62,17896169.31278485
1,63,17583000.732364867
1,64,17686375.217670683
1,65,16630024.446182769
1,66,15103882.740276879
1,67,14825150.577065343
1,68,20123154.36175562
1,69,23293207.523070306
1,70,22925015.81604563
1,71,22973189.637981854
1,72,24035454.147343643
1,73,25006862.282229666
1,74,19600539.014634144
1,75,19959351.696362175
1,76,19421056.505205795
1,77,18183515.380639754
1,78,14809114.615044985
1,79,13463919.010712748
1,80,13344911.980502289
1,81,13160516.869120918
1,82,13116562.257209042
1,83,13001038.889177807
1,84,15058846.88809168
1,85,13040547.18265532
1,86,11297855.291503128
1,87,10108801.899113104
1,88,9234899.992439374
1,89,8948652.433222784
1,90,6536534.269868085
1,91,6838177.004042228
1,92,6852604.010628374
1,93,6202414.508987575
1,94,5293475.974982466
1,95,4872768.9894703515
1,96,5205822.048958649
1,97,4646875.251476074
1,98,4107390.607673917
1,99,2858458.5001003584
1,100,2081579.3694566889
1,101,1693890.6920138174
1,102,2230834.1584099154
1,103,2184038.3312532892
1,104,1922065.5250355562
1,105,1480190.3201131828
1,106,1088712.5936438534
1,107,867131.6249361701
1,108,558915.7697067776
1,109,184312.02313565265
1,110,119740.33632566399
1,111,101566.87887492868
1,112,26579.993645337698
1,113,38830.21549672664
1,114,18224.875813060164
1,115,0.0
1,116,0.0
1,117,0.0
1,118,0.0
1,119,0.0
1,120,0.0
2,1,41085936.37582387
2,2,40300903.901635565
2,3,36158883.66678622
2,4,35638585.441209495
2,5,39090928.45201098
